window_end,avg_corr,density,edge_count,modularity,n_communities,clustering,avg_path_length,sigma
2024-10-14,0.005736826752396402,0.10918962075848303,13676,0.19932333620123482,15,0.5180454482924259,2.3482357226830923,3.636314696369113
2024-11-12,0.004486777082336318,0.11422754491017964,14307,0.23019903146563925,10,0.4945316142039855,2.248704789833822,3.51622899276297
2024-12-12,0.0042337755963402215,0.10816766467065868,13548,0.2528726830479997,12,0.4805634124900808,2.259718149234278,3.5895992937234893
2025-01-15,0.004335775070775968,0.11507385229540919,14413,0.24580770238655325,7,0.48938609236999325,2.2375791583166333,3.5013949169588936
2025-02-14,0.005407913257279457,0.08878243512974052,11120,0.29471205170020276,9,0.44479432106209804,2.3889602676298756,4.020853686794008
2025-03-18,0.005757379891600099,0.11100998003992016,13904,0.2451916937883567,10,0.47785629393494927,2.2808820796263527,3.4913369133109122
2025-04-16,0.005897731419214922,0.20876646706586827,26148,0.15431444263511204,5,0.5901799338730863,2.0010299401197607,2.5059565101108796
2025-05-16,0.005179532882821458,0.243313373253493,30475,0.1327422316452666,5,0.6220525190427632,1.9312224448897795,2.3029847275973125
2025-06-17,0.004664696029379273,0.2586746506986028,32399,0.124537055016431,6,0.6341151636751389,1.8982605210420842,2.226189815674668
2025-07-18,0.004347616153726833,0.25559281437125747,32013,0.13591180523694693,8,0.6376631620396973,1.889400660994077,2.2644721695962176
2025-08-18,0.002640246042198392,0.2504431137724551,31368,0.14304854124709973,8,0.6348221874038745,1.877368629447367,2.3243685744499554
2025-09-17,0.0019794799958531787,0.23828343313373254,29845,0.14170918347404368,8,0.6254834663961834,1.9195413444522558,2.3706117363582724
2025-10-16,0.0021272399370505534,0.09894610778443114,12393,0.28229618935860457,12,0.4795395516576846,2.3352476376669924,3.822111590448959
2025-11-14,0.0033829800185468054,0.0695808383233533,8715,0.3839179743225496,12,0.4176951514974006,2.5233893319757903,4.755627110457806
2025-12-16,0.0038014315115134155,0.06901397205588822,8644,0.39254362112323515,12,0.4153115058799075,2.5313729768167237,4.767856857097745
2026-01-16,0.004377359784315941,0.07155289421157685,8962,0.39603379434295216,11,0.409667023739982,2.4929009541117675,4.500730146544266
2026-02-18,0.004228536643437263,0.07973652694610779,9987,0.37658840756341416,13,0.42411264636678664,2.392652329749104,4.211916815218871
2026-03-19,0.004081605290303361,0.08357684630738522,10468,0.37173934112470414,11,0.4302406005251691,2.3733242830476837,4.209977688711384
